Major,Minimum admission score in 2023,Minimum admission rank in 2023,Minimum admission score in 2022,Minimum admission rank in 2022,
地理信息科学,603,22493,590,21378,"人类生存的地球——这个三维空间中的万物无不与空间位置相关，人类活动80%的信息与空间位置有关，地理信息科学（Geographic Information Science，简称GIS）专业就是专门和这“80%信息”打交道的。城市信息化建设，地理信息技术在数字中国中发挥着重要的基础性、权威性、高技术性等作用；人类日常生活，地理信息无处不在，其应用仅受制于你想象力的限制！从打开手机点外卖，到翻开地图查导航，从网购下单收快递，到预订网约车和共享单车等等，都与地理信息科学紧密相关。

中国石油大学（华东）2001年开始招收首届地理信息系统专业本科生，2014年专业更名为地理信息科学，2019年获批山东省一流本科专业。专业建设依托“资源与环境”、“测绘科学与技术”、“信息与通信工程”、“电子信息”等博士硕士学位点，课程设置充分体现学科交叉性，从测绘科学、地理学、计算机科学三条主线传递基础理论知识，培养学生解决实际问题的能力，同时又考虑本专业培养的海洋信息特色。核心课程有：地理信息系统原理、地图学基础、遥感原理及应用、卫星定位原理及应用、数字地形测量学、GIS应用开发、GIS空间分析等。围绕智慧海洋、智慧城市等形成了本-硕-博、工程硕士等多层次的人才培养体系，大大拓展了专业办学空间，增强了社会服务功能，提高了专业的办学水平和学生的就业竞争力。本专业近五年来平均就业率93.7%，每年都有50%左右的学生攻读硕士研究生，就业领域涵盖海洋、测绘、国土资源、城市规划、交通、水利、电力、环境保护、资源调查、石油等行业相关部门，主要从事与地理信息系统有关的应用研究、技术开发、生产管理和行政管理等工作。"
地质学,595,27755,581,27731,"国家级特色专业、首批入选国家级一流本科专业。

资源是国家发展的重要依托，能源是经济和民生的血液。地质学正是资源、能源高效勘探开发钥匙的掌控者和贡献者，地质人的创造性、卓有成效的工作，是国家资源能源大动脉健康运行的重要保障。如果想把自己的聪明才智和未来的杰出贡献铭刻于祖国富饶的大地，欢迎你报考地质学专业。

地质学专业要求学生喜爱地质，但本专业更看重的是你的家国情怀和奉献精神。 

专业核心课程：矿物岩石学、构造地质学、沉积学、地球化学、矿床学。

地质学专业学生适应能力强、就业面宽。毕业后能够在地质矿产、资源能源、工程勘查、灾害防治等领域，特别是大型国有油气公司等上游相关的企业、科研院所、教学机构所等，从事生产应用、科学研究，以及教学和管理等方面的工作。"
安全工程,601,23708,587,23311,安全工程专业以保障工业生产与公共生活的安全、提升人民的安全感和幸福感为主要目的，学生通过系统学习工业基础知识、安全监督与管理理论、风险控制方法、安全评估技术等相关内容，掌握工业生产安全的规律及风险管控方法、应急管理技术。培养知识、能力、素质全面发展，具备科学精神与人文素养，掌握安全科学基础、安全风险学、安全管理与应急、安全工程信息化、安全生产法律法规等方面的理论知识与技能，具有创新意识、实践能力和一定国际视野，能够在油气、化工等相关能源行业从事安全管理、安全技术、安全设计以及产品开开发、安全评价、安全咨询与培训等工作的高素质应用型人才。
工业设计,602,23063,587,23311,工业设计是一门集美学、心理学、工学、人机工程、市场学等学科于一体的交叉学科，是生活中必不可少的就在身边的专业，涉及到产品外观设计、用户体验、人机界面设计、数字媒体设计、视觉传达设计等方面的工作。例如，大到航天器、小到智能小家电，都需要产品造型设计；大型设备操控平台、手机操控界面及购物页面等，都离不开人机界面设计和用户体验设计；精美的包装设计、精彩的视频动画等，必须有专业的视觉传达即数字媒体设计人才
工程力学,601,23708,585,24714,"本专业培养在力学基础理论与工程应用，包括机械工程、航天航空工程、海洋工程、石油工程、土木工程等领域结构分析与强度可靠性设计方面的复合型人才。本专业以数学、力学理论为基础，辅修机械工程、土木工程、石油工程、储运工程、计算机技术与软件等专业课程。毕业生可在厂矿、土木建筑、研究院所等单位从事工程结构设计、生产、技术管理、科研、教学等方面的工作。

   学制四年。本专业具有硕士和博士学位授予权。"
市场营销,592,29958,586,24009,"服务于国家大数据战略，以“大数据精准营销”为专业特色，致力于培养创新能力、学习能力、情商、逆商、文化素养突出的，擅长发现、分析并解决营销实际问题的高素质应用型专业人才。
2001年开始招收本科。2006年获批工商管理一级硕士授权点，2009年获得MBA招生资格。第四轮学科评估中，工商管理学科获C+。"
应用化学,598,25680,584,25453,"应用化学专业为国家特色专业和山东省品牌专业，在石油石化领域具有明显的优势和特色。设立于1983年，是在原北京石油学院、华东石油学院炼制系炼油工程专业、基本有机化工专业和化学师资班的基础上设立的应用性理科专业，从1984年起具有博士学位授予权。经过近三十年的建设和发展，已成为国内石油和石油化工领域最有影响的专业之一。

应用化学专业现有专任教师22名，其中教授5名，副教授12名，96%的教师拥有博士学位，师资力量雄厚，科研实力强，保证了教育教学质量。

应用化学专业以培养基础理论扎实、实践能力强、石油石化特色鲜明、理工复合型应用化学人才为目标，核心课程包括无机及分析化学、有机化学、物理化学、石油化学、化工原理、油田应用化学、精细化工工艺学、高分子化学与物理等，建立了产学研相结合的人才培养模式，使学生具备良好的科学素养和创新意识，能够解决化学与能源、材料、环境等多学科交叉领域中实际问题，并能够适应相关的科研机构、事业单位和企业需求。
毕业生就业面广泛，以石油石化和能源相关的研究院所和企业为主，能在石油、炼油、化工、材料、环保等领域从事技术开发、生产技术管理和科学研究等方面工作。毕业生30%以上在世界500强企业就业，40%以上进入国内外知名高校，连续20年学生就业率超过90%，毕业生质量得到社会高度认可。"
应用物理学,605,21260,590,21378,应用物理学专业主要系统地学习物理学的基本理论、基本方法和基本技能，使学生掌握物理学的理论分析和实验技能。我校应用物理学专业的人才培养重视通识教育，培养学生人文素养、身心素质、科学精神和社会责任感；强化物理学领域所需的数学、外语和计算机方面基础知识的学习和应用，强化科学思维方法和物理学研究方法的训练；
建筑学,597,26361,586,24009,"本专业培养在建筑设计、城市设计、室内外环境设计、工业景观设计领域，系统掌握相关自然、人文科学理论知识，具有实践能力的复合型工程技术人才。毕业生能在民用与工业建筑设计、城市规划、环境艺术、工业景观设计领域从事设计、研究、管理等工作。

学制五年。本专业具有专业学位硕士授予权。

"
建筑环境与能源应用工程,597,26361,585,24714,"本专业培养适应我国社会主义现代化建设需要，德智体美全面发展，基础扎实、知识面广、能力强、素质高、有创新意识的建筑环境与能源应用工程专业方面的高级工程技术人才。毕业生能够从事各类燃气的工业及民用输配系统、暖通系统及相关领域内的工程规划、设计、建设、运行管理等工作，并具有初步的应用研究及技术开发能力。

学制四年。本专业具有硕士学位授予权。"
数学类,608,19549,593,19497,数学与应用数学专业是2001年由学校自主设置、2002年经教育部正式批准设立的本科专业。自2002年9月开始招生，数学与应用数学专业至今已有15届毕业生。数学与应用数学专业设有 “应用数学”和“统计分析”两个培养方向。近年来随着大数据技术重要性的提升，数学、统计学对于学生的吸引力明显上升。理科实验班分流、校内转专业、本科、研究生招生等生源的数量和质量均明显提高。
数据科学与大数据技术,612,17313,595,18295,"数据科学和大数据技术专业是学校于2019年新设置的本科专业，每年招生60人，下设海洋和能源两个大数据应用模块。数据科学和大数据技术专业依托学校的优势平台和统计学一级硕士点，进行专业和学科一体化建设。为保证实践教学，大数据实验室已建有Hadoop实验平台、大数据竞赛平台等软硬件实验设施，并设立了5个实习基地以及产学研合作基地。

专业培养目标：本专业面向社会各领域，尤其是海洋、能源等领域对大数据研究与应用的需求，培养德智体美劳全面发展，具有数据科学基础和数据思维能力，掌握数据科学和大数据技术的基本理论、方法与技能，能利用大数据思维分析复杂工程问题，解决相关实际问题，毕业后能够成为数据科学和大数据技术领域中从事科学研究、应用开发和教学的具有国际视野的高素质专门技术人才。"
新能源科学与工程,610,18428,592,20153,本专业培养知识、能力、素质各方面全面发展；系统掌握数学、物理、化学和信息科学等方面的基本理论和基础知识，新能源产生、转化和储存的基本理论和技术知识；具备在新能源材料与器件领域和学科交叉领域从事设计、开发、研究，并对生产过程管理与改造的能力，具有创新精神、实践能力和国际视野的工程技术人才。
智能感知工程,605,21260,589,22011,"我校于2021年获教育部批准设立智能感知工程专业，是省内第一批专业建设点。智能感知工程专业聚焦智能科学领域，以现代智能传感、智能检测、智能信息处理理论为指导，致力于培养智能传感器件、信息感知技术、动态测量技术、物联网技术、智能微系统、智慧医疗、新一代信息技术等领域从事科学研究、技术开发、工程设计、运行管理的专业人才。

智能感知工程专业依托我校“控制科学与工程”、“仪器科学与技术”学科，拥有山东省电工电子实验教学示范中心和校外实习实训基地，师资力量雄厚，具备培养本学科学士、硕士和博士的强大实力。智能感知工程专业主要培养具有扎实的数理基础和良好的人文素养，掌握智能感知领域专业基础知识，具有家国情怀、全球视野、创新精神和实践能力，能够从事信息感知技术、生物医学传感技术、信息转换技术、分布式传感技术、数据采集与前端存储及处理技术、数据无线传输技术、数据与网络接口技术、传感网与物联网技术、网络化与智能化技术等领域的技术研发、工程设计和工程应用的高级技术人才。

智能感知工程专业于2021年开始招生，为山东省第一个智能感知工程新工科专业建设点，每年招收2个班共计60人。学位授予门类为工学，修业年限为四年。"
智能科学与技术,610,18428,592,20153,"      培养在信息技术行业及油气能源领域胜任智能信息处理、智能系统设计或智能应用相关岗位的高级工程技术人才。


      学制四年。专业核心课程：数据结构、数据分析（Python）、机器学习、深度学习基础、计算机视觉。"
机械类（智能装备工程）,601,23708,584,25453,"机械工程专业凭借雄厚的师资力量和历史积淀，本着夯实通用基础、强化特色发展的专业办学理念，将人工智能技术与高端海洋工程装备深度融合，设立了装备智能化和海洋工程装备两大专业方向，注重培养创新意识、系统思维、国际视野，以满足国家智能制造和海洋强国战略对新时代智能装备领域高端工程技术人才的迫切需求。

机械工程专业坚持“博学、务实、创新、创业”的人才培养质量观，注重交叉学科的深度融合，将电工、电子、控制、计算机、网络、信息和人工智能等先进技术融入到机械学科教学体系当中，与时俱进地丰富并完善大学生的知识结构，强化创新能力的培养。

机械工程专业是广泛融合了机电、信息化、智能化等知识体系的宽口径专业，在学习和实践当中既存在趣味性，也具有挑战性。欢迎学术兴趣广、创新意识强的同学报考。

（2）专业就业方向：

本专业注重人才综合实践能力和职业素养的培养，毕业生能够运用所学自动化、智能化方面的专业知识和实践技能，在机电、汽车、家电、石油石化、海洋工程等领域从事智能化装备的设计、开发、研究、服务和管理等方面工作，就业范围广、层次高，发展后劲足、潜力大。首届毕业生就业率达100%，受到国内外高校、科研院所和厂矿企业的青睐。"
材料类,593,29216,578,30209,"首批入选山东省一流本科专业

本专业培养适应我国社会主义现代化建设需要，德智体美全面发展，掌握材料科学、化学科学等方面的知识，具有较强的创新精神、一定的国际化视野和组织管理能力，毕业后从事高分子材料、新能源材料等领域的科学研究、新材料设计与开发、材料应用技术及管理等方面工作的高素质创新型高级专门人才。"
材料类（本研一体班）,607,20108,591,20748,
汉语言文学,609,18997,595,18295,培养具有较高的文学理论素养、系统的汉语言文学知识和较强的语言文字表达能力，专业口径宽、适应能力强的复合型、应用型人才。毕业生可在文化管理、新闻出版、高校、科研机构以及机关、企事业单位从事文化管理、文化宣传、新闻报道、文学评论、汉语言文学教学与科研、文秘等工作。
油气储运工程,597,26361,580,28545,"十余年来，油气储运工程专业连续3次在全国高校专业评价等级为A++，一直保持全国排名第一。油气储运工程专业是我校石油主干专业之一，起源于清华大学石油系。油气储运工程专业始终以服务国家石油工业为己任，引领我国油气储运工程教育发展方向，多措并举加强专业建设，目前已建成油气储运工程国家级实验教学示范中心、油气储运工程国家级虚拟仿真实验教学中心和12个校企合作实践训练基地。以理念创新和品牌资源建设引领专业发展，建成了由2门国家级精品课、4门省级精品课组成的核心课程体系。十余年来，油气储运工程专业连续3次在全国高校专业评价等级为A++，一直保持全国排名第一。探索教育教学规律，研究油气储运工程人才培养模式，提出油气储运专业知识结构，牵头完成的“石油天然气学科（油气储运工程专业）发展战略研究”、“石油天然气学科（油气储运工程）专业规范”等多项教育部课题成果成为国内高等院校同类专业建设的指导性文件；创建的人才培养方案、编写的核心教材、自主研制的实验装置被20多所高校的油气储运工程专业广泛借鉴和使用，辐射效应显著，在国内油气储运工程专业建设中发挥了引领和示范作用。

"
法学,613,16804,597,17161,培养具有较系统的法学理论知识和法律实务知识的复合型、应用型法律高级专门人才。毕业生能够从事与法律有关的立法、司法、执法、法律咨询与服务、以及法学科研、教学和管理工作。
测控技术与仪器,606,20656,587,23311,"中国石油大学（华东）测控技术与仪器专业前身为1959年组建的炼厂仪表及其自动化专业，1998年调整为自动化专业的仪表方向，2005年测控技术与仪器专业正式招生。2020年入选山东省一流专业建设点，2021入选国家一流专业建设点。本专业所在学院拥有“控制科学与工程”一级学科博士学位授权点、“控制科学与工程”一级学科硕士学位授权点、山东省重点学科“控制理论与控制工程”；承担并完成了一批国家重点研发计划、国家自然科学基金、山东省自然科学基金以及众多企事业单位委托课题，形成了智能油气开发测控技术、微纳传感技术与微系统、光学精密测量与微加工技术、检测技术与仪器等研究方向。

本专业现有专任教师19人，其中百千万人才工程国家级人选1人，山东省优秀青年基金获得者1人，教授4人，副教授8人，博士生导师6人，企业专家20余人参与本部分实践类教学工作。本专业现有招生规模为2个班，设有本研一体班，本专业拥有10个专业实验室和2个创新实验室。与海克斯康、杰士德、艾默生、E+H、海尔、海信、胜利油田等10余家知名企业开展了全方位合作，共建10余个长期实习实训基地和校企联合实验室，构建了合作共赢的校企协同育人机制。专业坚持以学生为中心、产出导向、持续改进的教育理念，聚焦国家能源战略与社会经济发展，培养适应新时代信息化、智能化、网络化发展需要的工程技术人才，形成了“厚基础、宽口径、重实践、求创新”的办学特色与优势，为我国测控技术与仪器相关行业培养了700多名高级工程技术人才，近10%的毕业生就业世界500强企业。"
测绘工程,597,26361,584,25453,"随着航空航天、物联网、5G、人工智能、自动驾驶、大数据、云计算等技术的快速发展，测绘工程专业迎来了更大的发展空间，随着高科技测绘手段的出现及强烈的社会需求，未来测绘工程专业将是高度自动化、智能化的信息采集、加工、处理、表达与应用的学科。

中国石油大学（华东）测绘工程本科专业设置于1998年，2013年获批山东省特色专业，2019年获批山东省一流本科专业，2021年获批国家级一流本科专业建设点。专业建设依托“资源与环境”、“测绘科学与技术”、“信息与通信工程”、“电子信息”等博士硕士学位点，从最初立足石油，逐步拓展到面向海洋、服务社会。目前主要围绕“3S-GNSS（全球卫星导航定位系统）、RS（遥感）、GIS（地理信息系统）”技术理论与应用，重点开展海洋信息、数字油田、智慧海洋、智慧城市、卫星导航定位、水下导航定位、海洋遥感、地震遥感、近地表重磁反演、海岸线信息提取、三维地质体建模以及可视化等方向的研究，在“大地测量学与测量工程”、“摄影测量与遥感”、“地图制图学与地理信息工程”等方向形成了本-硕-博、工程硕士等多层次的人才培养体系，打造了由6个专业实验室和多个校内外实习基地构成的专业实践教学平台。
本专业各层次的毕业生市场需求量大，近五年来一次就业率均在90%以上，已为我国测绘、自然资源、城市规划、交通、水利、电力、环境保护、石油、海洋等行业输送了大批优秀的技术、管理人才，毕业生综合素质得到了用人单位的广泛认可，毕业后很快成为所在单位的技术骨干，事业发展前途十分看好。并且本专业每年都有50%左右的学生考取硕士研究生继续深造。"
海洋油气工程,598,25680,581,27731,"培养具备海洋工程知识，掌握油气开发理论与方法以及海洋钻完井、海洋采油与油气集输等理论与技术，能满足21世纪海洋石油工业发展需要的复合型人才，以适应我国海洋石油工业的发展需要。毕业生主要就业与海洋石油相关公司及科研部门，从事生产、管理与科研工作。
        学制四年。主要课程：高等数学、理论力学、材料力学、流体力学、海洋环境、油田开发工程、采油工程、钻井工程、海洋石油工程、海洋油气钻采装备、海洋油气集输、海洋平台工程。"
环保设备工程,597,26361,582,26937,环保设备工程专业是适应国家战略性新兴产业——环保技术产业发展的需要而设置的多学科交叉型、紧缺型、新工科专业。本专业立足国家可持续发展战略，契合国家“双碳”战略，致力于解决环保型设备设计、制造、维护中的前沿性和共性重大科技问题，面向石油、石化、新能源等能源领域的清洁生产过程，兼顾其他行业领域中的一般环境保护问题，突出环保型装备特色，强调清洁生产、节能减排为先绿色环保理念。
环境工程,595,27755,586,24009,"环境工程专业是多学科交叉的应用型工科专业，主要运用基础科学、工程学和其他有关学科的理论和方法，研究合理保护和利用自然资源，控制和防治环境污染，以改善环境质量，促进人类与自然协调发展，对环境资源的综合利用和国民经济的可持续发展具有重要的作用。中国石油大学（华东）环境工程专业是山东省一流专业和山东省特色专业。

就业方向

专业就业面广，人才需求量大。历年来就业情况显示，本专业主要就业于政府部门、规划部门、环保部门、设计单位、工矿企业、科研单位、环保专业公司等，成为工程师、技术骨干及管理者。从事环境规划与设计、工程管理、污染治理、环境评价及服务、生产管理及研究开发等工作；另外本专业40%左右毕业生在国内外知名高校及科研院所进一步深造。

"
电子信息工程,614,16332,595,18295,"电子信息工程专业主要面向现代电子信息系统设计和智能信息处理两个领域，专业研究的对象跟目前信息时代的热点问题息息相关。专业学习的内容包括电子电路、信号与信息处理、计算机原理与程序设计、人工智能模型和算法、嵌入式系统设计等课程，这些课程不仅囊括了扎实的理论基础，同时还涉及了大量的工程实践。通过本专业的学习不仅可以掌握计算机和信息科学的理论知识，熟悉当前人工智能科技发展的前沿方向，还能具备扎实的电子电路设计、计算机编程与应用的工程实践能力。

本专业始于1978年的应用电子技术专业，2010年获批山东省特色专业，2019年获批山东省一流专业建设点，2021年获批国家级一流专业建设点。专业建设依托“信息与通信工程”学术学位硕士点和“电子通信工程”专业学位硕士点，人才培养水平不断提升。目前以电子信息、海洋信息、石油石化等相关行业为主要服务对象，培养能够从事现代电子系统设计和智能信息处理等领域工作的“厚基础、宽口径”高素质复合型人才。本科毕业后就业或继续深造都有比较广阔的空间。本专业近五年一次就业率均在92%以上，已为我国的人工智能、电子、通信、测控、软件开发等行业(例如华为、阿里巴巴、腾讯、海尔等企业)输送了大量的工程技术及管理人才"
电气工程及其自动化,612,17313,593,19497,电气工程及其自动化专业主要是研究电能的产生、传输、转换、控制、储存和利用的专业。本专业是教育部“卓越工程师教育培养计划”试点专业，山东省特色专业，具有硕士学位授予权，主要培养电气工程及自动化领域的高级工程技术人才和管理人才。本专业毕业生具有电力系统、电气传动、自动控制等方面的专业技术和实践能力，可以在电气工程、自动控制、信息技术以及其他各行业从事规划设计、技术开发、装备制造、生产过程的运行与控制、技术管理和科学研究等方面工作。目前，国家电网、大型国有发电厂和石油石化企业仍是我校毕业生的主流选择；同时，也有越来越多的同学选择继续深造。
石油工程,596,27050,580,28545,"石油工程专业
        培养具有扎实的专业基础知识和较强的计算机、外语应用能力，掌握石油工程基本技能，能在石油工程领域从事工程设计、生产施工、科学研究与科技开发和生产管理工作，具有较强的实践能力、创新精神和国际视野的高级专门人才。毕业生主要就业于国家各大石油公司及相关科研部门，从事生产、管理与科研工作。
        学制四年。主要课程：高等数学、大学物理、程序设计语言、化学原理、工程流体力学、工程力学、钻采机械、地质学、钻井与完井工程、采油工程、油藏工程等。
        本专业以油气井工程和油气田开发工程两个国家重点学科为依托，是国家级特色专业，山东省品牌专业，具有硕士和博士学位授予权。"
碳储科学与工程,603,22493,0,0,碳储科学与工程是一门涉及碳捕集、储存、利用及其相关技术的跨学科专业。该专业涉及的学科包括油气、地质、化工、化学、物理、材料、环境和计算机等。其核心目标是开发和应用碳捕集、转化和利用技术，以减少大气中的温室气体排放并降低全球气候变化对人类社会造成的影响。
管理科学与工程类,596,27050,582,26937,工程管理涉及工程在规划设计、建造施工、运营维护及废弃全寿命周期各阶段中的经济管理理论与实践。我们学习（研究）的对象跟土木工程、工业工程、物流工程和能源工程均密切相关，特别是重大复杂工程中的经济管理问题。例如，港珠澳桥隧工程的投资决策问题、进度成本质量的计划与控制问题、安全风险及可靠性管理问题；北京新机场工程建设中的投资造价、招投标、合同管理问题等。
经济学,601,23708,592,20153,"以国家能源战略和经济社会发展为导向，突出能源经济特色，致力于建设成为国外知名、国内一流的能源经济、区域经济特色鲜明的经济学专业。培养具有扎实的经济学基础理论知识和能源行业专门知识，能够熟练运用经济学研究方法解决复杂经济问题的高层次、复合型人才。
2017年，在全国第四轮学科评估中，本专业依托的应用经济学学科被评为C,位列山东省第5位。

"
能源与动力工程,608,19549,590,21378,能源与动力工程，它融合了热科学、力学、材料科学、环境科学、控制科学等高新科学技术，主要研究煤炭、石油、天然气等一次能源转化为电力、热能等二次能源生产过程，以及风能、太阳能、生物质能等可再生能源的开发利用，但竭尽所“能”不止于“动”，上至空间站下到核潜艇，大如航母小到芯片，它都发挥了重要作用，是能源动力、石油石化、节能环保、国防军工等领域的核心专业。2009年被评为山东省品牌专业，2010年被评为国家级特色专业，2021年列入国家级一流本科专业建设点。
能源化学工程,601,23708,586,24009,"能源化学工程专业是适应能源产业发展新形势而设置的学科交叉型专业，是化学工程科学在能源领域的拓展与延伸。能源化学工程专业未来将瞄准能源资源开发和利用的前沿问题，面向国家能源战略需求，突出学科交叉。专业内涵包括能源资源开发、能源优化利用、新能源材料的基础与应用基础研究，其研究对象在国民经济、社会发展和国家能源安全中有着重要应用。我校本专业分煤化工和生物能源化工两个培养方向，能源化学工程专业要求学生数学、物理、化学、生物等均有较好的基础，有较强的动手能力，欢迎有志于成为能源化工产业优秀专业人才的同学报考。

就业方向

能源化学工程专业培养的是宽口径、复合型化学工程专业人才，可在化工、能源、轻工、安全、环保和军工等领域就业，尤其是在煤化工、生物能源化工等能源化工相关行业从事能源清洁化、可再生能源利用以及能源高效转化、化工用能评价等领域的科学研究、工程设计、技术开发、生产运行、技术管理、安全管理等工作。"
