专业类别名称,专业介绍
应用经济学,专业介绍:应用经济学-级学科学位点最早始于中国石油大学1956年成立的工业经济系，1986年起开始招收硕士研究生，2004年获批产业经济学二级学科硕士授予权，2010年获批应用经济学一级学科硕士学位授予权。本学位点一直体现以能源经济为主要研究内容的学科发展特色，后来文逐渐扩展到区域经济、环境经济、资源经济等经济学领域，形成了能源经济与政策、产业经济与区域发展、资源与环境经济3个研究方向。紧密结合我国经济社会需要，坚持立德树人为根本，培育和践行社会主义核心价值观，培养在经济领域掌差坚实宽产的理论基础和系统深入的专门知识，具备一定的批判性思维和创新性思维，具有国际视野，能够对复杂现实间题进行调查研究、构建模型和实证检验等能力，具有高度社会责在任感的高层次经济专业人才。要求学生具备扎实、系统的应用经济学基本理论和基础知识，擎握基本的经济研究方法；具有实事求是、勇于创新的精神和严谨的治学态度，能理论联系实际，解决现实经济与管理中的实际问题；较为熟练地掌握一门外国语并能阅读本专业的外文资料；具有健康的体魄和健全良好的心理素质；毕业后能在政府部门、企事业单位和高等院校，从事与本学科相关的经济分析、经济预测与决策和教学科研工作。
控制科学与工程,控制科学与工程学位点由中国石油大学（华东）与中国石油大学（北京）两校共建，1986年获得控制理论与控制工程二级学科硕士学位授予权，2005年获得控制科学与工程一级学科硕士学位授予权。本学位点主要面向石油天然气、化工、航空航天、生物医学、仪器、智能制造等领域，开展控制科学与工程的理论和应用研究，解决行业领域的技术难题，在石油化工生产过程的建模仿真与先进控制、油气由测控技术、故障诊断与智能信息处理和油气田特种测控设备开发等领域形成了一定的特色与优势，曾获国家科技进步奖二等奖和中石化总公司科技进步奖一等奖等奖项。
油气储运工程,油气储运工程是运用科学的理论与方法，针对石油、天然气、浆体、氢、三氧化碳等流体，开展地面集输、长距离管道输送、储存工艺与技术等方向研究的学科。以数学、力学、热学、化学、材料等学科的理论为基础，研究解决石油、天然气、浆体、氢、二氧化碳等流体介质储运系统中的工艺、设备、结构、安全与智能化等方面的理论与技术问题，保障石油、天然气、氢等介质的安全生产与供应。油气储运工程专业1952年创建于清华大学，1981年、1986年分别经国务院学位委员会批准，成为我国第一个获得硕士、博士学位授予权的油气储运学科点，2017年入选“双一流”学科建设，2022年入选第二轮“双一流”学科建设，并获培优资格。学科成立以来，为我国石油、石化、军队、民航、交通等系统培养了大批油气储运技术人才，在油气储运关键技术及其应用基础研究上取得了一系列重要成果，是储运行业有才、选才的首选基地。
海洋油气工程,海洋油气工程学科隶属于石油与天然气工程一级学科。石油与天然气工程学科是学校优势特色学科和国家“211工程”“985优势学科创新平台”重点建设学科，1961年获工学硕士学位授予权，1986年获工学博士学位授予权，2007年被批准为国家重点一级学科，2017年被确定为国家“双一流建设学科”。本学科主要研究海洋油气钻完井、开采、集输过程中的各种物理、力学与化学现象、规律、机理及工艺技术方法等。根据石油与天然气工程学科的内涵和发展趋势，瞄准国际学术前沿，汇聚国内外一流学科人才队伍，建设国际一流学科平台，构建科教融合的创新人才培养体系，强化学科交叉与国际化，创新海洋油气工程理论、方法和技术，培养科学素养高、理论基础扎实、科研创新能力强、学术视野广的海洋油气工程专业人才。
地质学, 地质学硕士学位授权点源于1953年设立的北京石油学院石油地质专业：2005年地质学被批准为博主点学位授权一级学科。地质学一级学科我校目前主要发展四个二级学科：矿物学、岩石学、矿床学，构造地质学，地球化学，古生物学与地层学。紧密围绕国家能源战路重大需求，面对油气资源基础地质的学科前沿，已在沉积岩石学、储层地质学、盆地构造与油气区解析、成岩成藏流体地球化学等方向形成了特色与优势，建立了具有中国特色的地震沉积学、测井沉积学、层序地层学等理论和方法体系，形成了叠合盆地原型恢复与构造建模技术等，取得了系列创新性成果，并在油气勘探开发中取得了显著的经济效益。
新能源科学与工程,新能源科学与工程面向新能源产业中的基础科学问题，立足于国家能源发展规划，根据能源领域的发展趋势和国民经济发展需要，基于动力工程及工程热物理、化学工程、电气工程、材料科学与工程、控制科学与工程等基础科学的基本原理和方法，针对新能源（如太阳能、地热能、生物质能、氢能等）的特点，解决其在存储、转化、利用中的相关科学和技术问题，是理工结合、多学科融合的新型交叉学科专业。主要培养在新能源储存与转化、新能源高效利用等领域从事相关基础理论研究、新材料开发以及新工艺设计等方面的高层次复合型人才，以满足新能源产业对科技研发、产业发展等方面的高层次创新型人才的需求。
数学,中国石油大学数学学科始建于1953年，2001年开始跨学科培养硕士研究生，2003年设立计算数学、应用数学二级学科硕土点，2006年设立数学一级学科硕士点，是校级重点学科。数学硕士学位点共设有5个研究方向，分别为基础数学、计算数学、应用数学、运筹学与控制论、数据科学与信息安全。本学位点重视基础理论和应用基础研究，尤其在石油勘探开发、海洋大数据等数学应用领域形成鲜明特色，致力于培养“数学+（石油、海洋、软件开发）”的复合型硕士研究生。
油气井工程,油气井工程学科隶属于石油与天然气工程一级学科。石油与天然气工程学科是学校优势特色学科和国家“211工程”“985优势学科创新平台”重点建设学科，1961年获工学硕生学位投予权，1986年获工学博士学位授予权，2007年被批准为国家重点一级学科，2017年被确定为国家“双一流建设学科”。本学科主要研究油气并建并过程中岩石、流体、管柱三者自身物理、力学、化学基本特征及相互作用规律，以及相应控制技术。以服务国家重大能源战略需求为导向，以油气资源（特别是深层、深水、页岩/致密油气、煤层气、天然气水合物等）及地热资源等安全、高效、智能化钻完井为主攻目标，瞄准国际学术前沿，汇聚国内外一流学科人才队伍，建设国际一流学科平台，构建科教融合的创新人才培养体系，强化学科交叉与国际化，创新油气井工程理论、方法和技术，培养科学素养高、理论基础扎实、科研创新能力强、学术视野广的准气井工程专业人才。
土木工程,中国石油大学（华东）土木工程专业创建于1986年，于2003年获岩土工程二级学科硕士学位授予权、2006年获结构工程与供热、供燃气、通风及空调工程两个二级学科硕士学位授予权，在此基础上，2011年获土木工程一级学科硕士学位授予权。土木工程学科学位投权点设置岩王工程，结构工程，防灾减灾工程及防护工程，供热、供燃气、通风及空调工程四个培养方向。基于特色发展恩路，面向士木工程和石油石化行业发展需求，以土木工程基础理论研究和科技创新为核心，突出能源特色，服务石油石化行业，并面向蓝黄经济圈对主木工程学科的需求，服务区域经济。
马克思主义理论,马克思主义是科学的世界观和方法论，是反映客观世界特别是人类社会的本质和规律的科学真理。马克思主义理论是一门从整体上研究马克思主义基本原理和科学体系的学科。它包括马克思主义基本原理、马克思主义发展史、马克思主义中国化研究、国外马克思主义研究、思想政治教育、中国近现代史基本问题研究和党的建设等7个二级学科。中国石油大学（华东）在多年的发展中，本学位点始终瞄准当代中国重大理论与现实问题、区域经济社会发展以及能源战略安全等国家重大需求，依托学校能源学科优势与区域发展优势，不断夯实学科基础，突出学科特色，在马克思主义基本原理、马克患主义中国化研究、惠想政治敦育、中国近现代史基本问题研究等二级学科方向形成明显的科学研究与人才培养优势。
